DESIGNATION,Project_name,Department,Resource,Project_Name,Department,Access
DESIGNER,P1,DEVELOPMENT,EMP_DETAIL,P1,DEVELOPMENT,NO
DESIGNER,P1,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,NO
DESIGNER,P1,DEVELOPMENT,SALARY_DETAIL,P1,HR,NO
DESIGNER,P1,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
DESIGNER,P1,DEVELOPMENT,CLIENT_DETAIL,P1,HR,NO
DESIGNER,P1,DEVELOPMENT,CLIENT_DETAIL,P2,HR,NO
DESIGNER,P1,DEVELOPMENT,PROJECT_COST,P1,FINANCE,NO
DESIGNER,P1,DEVELOPMENT,PROJECT_COST,P2,FINANCE,NO
DESIGNER,P1,DEVELOPMENT,SERVER,P1,TECHNICAL,YES
DESIGNER,P1,DEVELOPMENT,SERVER,P2,TECHNICAL,NO
DESIGNER,P1,DEVELOPMENT,DATABASE,P1,TECHNICAL,YES
DESIGNER,P1,DEVELOPMENT,DATABASE,P2,TECHNICAL,NO
DESIGNER,P1,DEVELOPMENT,NETWORK_SETUP,P1,TECHNICAL,NO
DESIGNER,P1,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,NO
DESIGNER,P2,DEVELOPMENT,PROJECT_DETAIL,P1,DEVELOPMENT,NO
DESIGNER,P2,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,YES
DESIGNER,P2,DEVELOPMENT,EMP_DETAIL,P1,DEVELOPMENT,NO
DESIGNER,P2,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,NO
DESIGNER,P2,DEVELOPMENT,SALARY_DETAIL,P1,HR,NO
DESIGNER,P2,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
DESIGNER,P2,DEVELOPMENT,CLIENT_DETAIL,P1,HR,NO
DESIGNER,P2,DEVELOPMENT,CLIENT_DETAIL,P2,HR,NO
DESIGNER,P2,DEVELOPMENT,PROJECT_COST,P1,FINANCE,NO
DESIGNER,P2,DEVELOPMENT,PROJECT_COST,P2,FINANCE,NO
DESIGNER,P2,DEVELOPMENT,SERVER,P1,TECHNICAL,NO
DESIGNER,P2,DEVELOPMENT,SERVER,P2,TECHNICAL,YES
DESIGNER,P2,DEVELOPMENT,DATABASE,P1,TECHNICAL,NO
DESIGNER,P2,DEVELOPMENT,DATABASE,P2,TECHNICAL,YES
DESIGNER,P2,DEVELOPMENT,NETWORK_SETUP,P1,TECHNICAL,NO
DESIGNER,P2,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,NO
PROGRAMMER,P1,DEVELOPMENT,PROJECT_DETAIL,P1,DEVELOPMENT,YES
PROGRAMMER,P1,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,NO
PROGRAMMER,P1,DEVELOPMENT,EMP_DETAIL,P1,DEVELOPMENT,NO
PROGRAMMER,P1,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,NO
PROGRAMMER,P1,DEVELOPMENT,SALARY_DETAIL,P1,HR,NO
PROGRAMMER,P1,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
PROGRAMMER,P1,DEVELOPMENT,CLIENT_DETAIL,P1,HR,NO
PROGRAMMER,P1,DEVELOPMENT,CLIENT_DETAIL,P2,HR,NO
PROGRAMMER,P1,DEVELOPMENT,PROJECT_COST,P1,FINANCE,NO
PROGRAMMER,P1,DEVELOPMENT,PROJECT_COST,P2,FINANCE,NO
PROGRAMMER,P1,DEVELOPMENT,SERVER,P1,TECHNICAL,YES
PROGRAMMER,P1,DEVELOPMENT,SERVER,P2,TECHNICAL,NO
PROGRAMMER,P1,DEVELOPMENT,DATABASE,P1,TECHNICAL,YES
PROGRAMMER,P1,DEVELOPMENT,DATABASE,P2,TECHNICAL,NO
PROGRAMMER,P1,DEVELOPMENT,NETWORK_SETUP,P1,TECHNICAL,NO
PROGRAMMER,P1,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,NO
PROGRAMMER,P2,DEVELOPMENT,PROJECT_DETAIL,P1,DEVELOPMENT,NO
PROGRAMMER,P2,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,YES
PROGRAMMER,P2,DEVELOPMENT,EMP_DETAIL,P1,DEVELOPMENT,NO
PROGRAMMER,P2,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,NO
PROGRAMMER,P2,DEVELOPMENT,SALARY_DETAIL,P1,HR,NO
PROGRAMMER,P2,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
PROGRAMMER,P2,DEVELOPMENT,CLIENT_DETAIL,P1,HR,NO
PROGRAMMER,P2,DEVELOPMENT,CLIENT_DETAIL,P2,HR,NO
PROGRAMMER,P2,DEVELOPMENT,PROJECT_COST,P1,FINANCE,NO
PROGRAMMER,P2,DEVELOPMENT,PROJECT_COST,P2,FINANCE,NO
PROGRAMMER,P2,DEVELOPMENT,SERVER,P1,TECHNICAL,NO
PROGRAMMER,P2,DEVELOPMENT,SERVER,P2,TECHNICAL,YES
PROGRAMMER,P2,DEVELOPMENT,DATABASE,P1,TECHNICAL,NO
PROGRAMMER,P2,DEVELOPMENT,DATABASE,P2,TECHNICAL,YES
PROGRAMMER,P2,DEVELOPMENT,NETWORK_SETUP,P1,TECHNICAL,NO
PROGRAMMER,P2,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,NO
SDE,P1,DEVELOPMENT,PROJECT_DETAIL,P1,DEVELOPMENT,YES
SDE,P1,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,NO
SDE,P1,DEVELOPMENT,EMP_DETAIL,P1,DEVELOPMENT,NO
SDE,P1,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,NO
SDE,P1,DEVELOPMENT,SALARY_DETAIL,P1,HR,NO
SDE,P1,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
SDE,P1,DEVELOPMENT,CLIENT_DETAIL,P1,HR,NO
SDE,P1,DEVELOPMENT,CLIENT_DETAIL,P2,HR,NO
SDE,P1,DEVELOPMENT,PROJECT_COST,P1,FINANCE,NO
SDE,P1,DEVELOPMENT,PROJECT_COST,P2,FINANCE,NO
SDE,P1,DEVELOPMENT,SERVER,P1,TECHNICAL,YES
SDE,P1,DEVELOPMENT,SERVER,P2,TECHNICAL,NO
SDE,P1,DEVELOPMENT,DATABASE,P1,TECHNICAL,YES
SDE,P1,DEVELOPMENT,DATABASE,P2,TECHNICAL,NO
SDE,P1,DEVELOPMENT,NETWORK_SETUP,P1,TECHNICAL,NO
SDE,P1,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,NO
SDE,P2,DEVELOPMENT,PROJECT_DETAIL,P1,DEVELOPMENT,NO
SDE,P2,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,YES
SDE,P2,DEVELOPMENT,EMP_DETAIL,P1,DEVELOPMENT,NO
SDE,P2,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,NO
SDE,P2,DEVELOPMENT,SALARY_DETAIL,P1,HR,NO
SDE,P2,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
SDE,P2,DEVELOPMENT,CLIENT_DETAIL,P1,HR,NO
SDE,P2,DEVELOPMENT,CLIENT_DETAIL,P2,HR,NO
SDE,P2,DEVELOPMENT,PROJECT_COST,P1,FINANCE,NO
SDE,P2,DEVELOPMENT,PROJECT_COST,P2,FINANCE,NO
SDE,P2,DEVELOPMENT,SERVER,P1,TECHNICAL,NO
SDE,P2,DEVELOPMENT,SERVER,P2,TECHNICAL,YES
SDE,P2,DEVELOPMENT,DATABASE,P1,TECHNICAL,NO
SDE,P2,DEVELOPMENT,DATABASE,P2,TECHNICAL,YES
SDE,P2,DEVELOPMENT,NETWORK_SETUP,P1,TECHNICAL,NO
SDE,P2,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,NO
PROJECT_MANAGER,P1,DEVELOPMENT,PROJECT_DETAIL,P1,DEVELOPMENT,YES
PROJECT_MANAGER,P1,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,NO
PROJECT_MANAGER,P1,DEVELOPMENT,EMP_DETAIL,P1,DEVELOPMENT,YES
PROJECT_MANAGER,P1,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,NO
PROJECT_MANAGER,P1,DEVELOPMENT,SALARY_DETAIL,P1,HR,NO
PROJECT_MANAGER,P1,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
PROJECT_MANAGER,P1,DEVELOPMENT,CLIENT_DETAIL,P1,HR,NO
PROJECT_MANAGER,P1,DEVELOPMENT,CLIENT_DETAIL,P2,HR,NO
PROJECT_MANAGER,P1,DEVELOPMENT,PROJECT_COST,P1,FINANCE,YES
PROJECT_MANAGER,P1,DEVELOPMENT,PROJECT_COST,P2,FINANCE,NO
PROJECT_MANAGER,P1,DEVELOPMENT,SERVER,P1,TECHNICAL,YES
PROJECT_MANAGER,P1,DEVELOPMENT,SERVER,P2,TECHNICAL,NO
PROJECT_MANAGER,P1,DEVELOPMENT,DATABASE,P1,TECHNICAL,YES
PROJECT_MANAGER,P1,DEVELOPMENT,DATABASE,P2,TECHNICAL,NO
PROJECT_MANAGER,P1,DEVELOPMENT,NETWORK_SETUP,P1,TECHNICAL,YES
PROJECT_MANAGER,P1,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,NO
PROJECT_MANAGER,P2,DEVELOPMENT,PROJECT_DETAIL,P1,DEVELOPMENT,NO
PROJECT_MANAGER,P2,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,YES
PROJECT_MANAGER,P2,DEVELOPMENT,EMP_DETAIL,P1,DEVELOPMENT,NO
PROJECT_MANAGER,P2,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,YES
PROJECT_MANAGER,P2,DEVELOPMENT,SALARY_DETAIL,P1,HR,NO
PROJECT_MANAGER,P2,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
PROJECT_MANAGER,P2,DEVELOPMENT,CLIENT_DETAIL,P1,HR,NO
PROJECT_MANAGER,P2,DEVELOPMENT,CLIENT_DETAIL,P2,HR,NO
PROJECT_MANAGER,P2,DEVELOPMENT,PROJECT_COST,P1,FINANCE,NO
PROJECT_MANAGER,P2,DEVELOPMENT,PROJECT_COST,P2,FINANCE,YES
PROJECT_MANAGER,P2,DEVELOPMENT,SERVER,P1,TECHNICAL,NO
PROJECT_MANAGER,P2,DEVELOPMENT,SERVER,P2,TECHNICAL,YES
PROJECT_MANAGER,P2,DEVELOPMENT,DATABASE,P1,TECHNICAL,NO
PROJECT_MANAGER,P2,DEVELOPMENT,DATABASE,P2,TECHNICAL,YES
PROJECT_MANAGER,P2,DEVELOPMENT,NETWORK_SETUP,P1,TECHNICAL,NO
PROJECT_MANAGER,P2,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,YES
PROJECT_LEADER,P1,DEVELOPMENT,SALARY_DETAIL,P1,HR,NO
PROJECT_LEADER,P1,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
PROJECT_LEADER,P2,DEVELOPMENT,SALARY_DETAIL,P1,HR,NO
PROJECT_LEADER,P2,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
PROJECT_LEADER,P1,DEVELOPMENT,CLIENT_DETAIL,P1,HR,YES
PROJECT_LEADER,P1,DEVELOPMENT,CLIENT_DETAIL,P2,HR,YES
PROJECT_LEADER,P2,DEVELOPMENT,CLIENT_DETAIL,P1,HR,YES
PROJECT_LEADER,P2,DEVELOPMENT,CLIENT_DETAIL,P2,HR,YES
PROJECT_LEADER,P1,DEVELOPMENT,EMP_DETAIL,P1,DEVELOPMENT,YES
PROJECT_LEADER,P1,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,YES
PROJECT_LEADER,P2,DEVELOPMENT,EMP_DETAIL,P1,DEVELOPMENT,YES
PROJECT_LEADER,P2,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,YES
PROJECT_LEADER,P1,DEVELOPMENT,PROJECT_DETAIL,P1,DEVELOPMENT,YES
PROJECT_LEADER,P1,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,YES
PROJECT_LEADER,P2,DEVELOPMENT,PROJECT_DETAIL,P1,DEVELOPMENT,YES
PROJECT_LEADER,P2,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,YES
PROJECT_LEADER,P1,DEVELOPMENT,PROJECT_COST,P1,FINANCE,YES
PROJECT_LEADER,P1,DEVELOPMENT,PROJECT_COST,P2,FINANCE,YES
PROJECT_LEADER,P2,DEVELOPMENT,PROJECT_COST,P1,FINANCE,YES
PROJECT_LEADER,P2,DEVELOPMENT,PROJECT_COST,P2,FINANCE,YES
PROJECT_LEADER,P1,DEVELOPMENT,SERVER,P1,TECHNICAL,YES
PROJECT_LEADER,P1,DEVELOPMENT,SERVER,P2,TECHNICAL,YES
PROJECT_LEADER,P2,DEVELOPMENT,SERVER,P1,TECHNICAL,YES
PROJECT_LEADER,P2,DEVELOPMENT,SERVER,P2,TECHNICAL,YES
PROJECT_LEADER,P1,DEVELOPMENT,DATABASE,P1,TECHNICAL,YES
PROJECT_LEADER,P1,DEVELOPMENT,DATABASE,P2,TECHNICAL,YES
PROJECT_LEADER,P2,DEVELOPMENT,DATABASE,P1,TECHNICAL,YES
PROJECT_LEADER,P2,DEVELOPMENT,DATABASE,P2,TECHNICAL,YES
PROJECT_LEADER,P1,DEVELOPMENT,NETWORK_SETUP,P1,TECHNICAL,YES
PROJECT_LEADER,P1,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,YES
PROJECT_LEADER,P2,DEVELOPMENT,NETWORK_SETUP,P1,TECHNICAL,YES
PROJECT_LEADER,P2,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,YES
NETWORK_ENGINEER,NotA,TECHNICAL,SALARY_DETAIL,P1,HR,NO
NETWORK_ENGINEER,NotA,TECHNICAL,SALARY_DETAIL,P2,HR,NO
NETWORK_ENGINEER,NotA,TECHNICAL,CLIENT_DETAIL,P1,HR,NO
NETWORK_ENGINEER,NotA,TECHNICAL,CLIENT_DETAIL,P2,HR,NO
NETWORK_ENGINEER,NotA,TECHNICAL,EMP_DETAIL,P1,DEVELOPMENT,NO
NETWORK_ENGINEER,NotA,TECHNICAL,EMP_DETAIL,P2,DEVELOPMENT,NO
NETWORK_ENGINEER,NotA,TECHNICAL,PROJECT_DETAIL,P1,DEVELOPMENT,NO
NETWORK_ENGINEER,NotA,TECHNICAL,PROJECT_DETAIL,P2,DEVELOPMENT,NO
NETWORK_ENGINEER,NotA,TECHNICAL,PROJECT_COST,P1,FINANCE,NO
NETWORK_ENGINEER,NotA,TECHNICAL,PROJECT_COST,P2,FINANCE,NO
NETWORK_ENGINEER,NotA,TECHNICAL,SERVER,P1,TECHNICAL,YES
NETWORK_ENGINEER,NotA,TECHNICAL,SERVER,P2,TECHNICAL,YES
NETWORK_ENGINEER,NotA,TECHNICAL,DATABASE,P1,TECHNICAL,NO
NETWORK_ENGINEER,NotA,TECHNICAL,DATABASE,P2,TECHNICAL,NO
NETWORK_ENGINEER,NotA,TECHNICAL,NETWORK_SETUP,P1,TECHNICAL,YES
NETWORK_ENGINEER,NotA,TECHNICAL,NETWORK_SETUP,P2,TECHNICAL,YES
DATABASE_ENGINEER,NotA,TECHNICAL,SALARY_DETAIL,P1,HR,NO
DATABASE_ENGINEER,NotA,TECHNICAL,SALARY_DETAIL,P2,HR,NO
DATABASE_ENGINEER,NotA,TECHNICAL,CLIENT_DETAIL,P1,HR,NO
DATABASE_ENGINEER,NotA,TECHNICAL,CLIENT_DETAIL,P2,HR,NO
DATABASE_ENGINEER,NotA,TECHNICAL,EMP_DETAIL,P1,DEVELOPMENT,NO
DATABASE_ENGINEER,NotA,TECHNICAL,EMP_DETAIL,P2,DEVELOPMENT,NO
DATABASE_ENGINEER,NotA,TECHNICAL,PROJECT_DETAIL,P1,DEVELOPMENT,NO
DATABASE_ENGINEER,NotA,TECHNICAL,PROJECT_DETAIL,P2,DEVELOPMENT,NO
DATABASE_ENGINEER,NotA,TECHNICAL,PROJECT_COST,P1,FINANCE,NO
DATABASE_ENGINEER,NotA,TECHNICAL,PROJECT_COST,P2,FINANCE,NO
DATABASE_ENGINEER,NotA,TECHNICAL,SERVER,P1,TECHNICAL,YES
DATABASE_ENGINEER,NotA,TECHNICAL,SERVER,P2,TECHNICAL,YES
DATABASE_ENGINEER,NotA,TECHNICAL,DATABASE,P1,TECHNICAL,YES
DATABASE_ENGINEER,NotA,TECHNICAL,DATABASE,P2,TECHNICAL,YES
DATABASE_ENGINEER,NotA,TECHNICAL,NETWORK_SETUP,P1,TECHNICAL,NO
DATABASE_ENGINEER,NotA,TECHNICAL,NETWORK_SETUP,P2,TECHNICAL,NO
IT_MANAGER,NotA,TECHNICAL,SALARY_DETAIL,P1,HR,NO
IT_MANAGER,NotA,TECHNICAL,SALARY_DETAIL,P2,HR,NO
IT_MANAGER,NotA,TECHNICAL,CLIENT_DETAIL,P1,HR,NO
IT_MANAGER,NotA,TECHNICAL,CLIENT_DETAIL,P2,HR,NO
IT_MANAGER,NotA,TECHNICAL,EMP_DETAIL,P1,DEVELOPMENT,NO
IT_MANAGER,NotA,TECHNICAL,EMP_DETAIL,P2,DEVELOPMENT,NO
IT_MANAGER,NotA,TECHNICAL,PROJECT_DETAIL,P1,DEVELOPMENT,NO
IT_MANAGER,NotA,TECHNICAL,PROJECT_DETAIL,P2,DEVELOPMENT,NO
IT_MANAGER,NotA,TECHNICAL,PROJECT_COST,P1,FINANCE,NO
IT_MANAGER,NotA,TECHNICAL,PROJECT_COST,P2,FINANCE,NO
IT_MANAGER,NotA,TECHNICAL,SERVER,P1,TECHNICAL,YES
IT_MANAGER,NotA,TECHNICAL,SERVER,P2,TECHNICAL,YES
IT_MANAGER,NotA,TECHNICAL,DATABASE,P1,TECHNICAL,YES
IT_MANAGER,NotA,TECHNICAL,DATABASE,P2,TECHNICAL,YES
IT_MANAGER,NotA,TECHNICAL,NETWORK_SETUP,P1,TECHNICAL,YES
IT_MANAGER,NotA,TECHNICAL,NETWORK_SETUP,P2,TECHNICAL,YES
DESIGNER,P4,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,NO
DESIGNER,P4,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,NO
DESIGNER,P4,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
DESIGNER,P4,DEVELOPMENT,CLIENT_DETAIL,P2,HR,NO
DESIGNER,P4,DEVELOPMENT,PROJECT_COST,P2,FINANCE,NO
DESIGNER,P4,DEVELOPMENT,SERVER,P2,TECHNICAL,NO
DESIGNER,P4,DEVELOPMENT,DATABASE,P2,TECHNICAL,NO
DESIGNER,P4,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,NO
PROGRAMMER,P4,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,NO
PROGRAMMER,P4,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,NO
PROGRAMMER,P4,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
PROGRAMMER,P4,DEVELOPMENT,CLIENT_DETAIL,P2,HR,NO
PROGRAMMER,P4,DEVELOPMENT,PROJECT_COST,P2,FINANCE,NO
PROGRAMMER,P4,DEVELOPMENT,SERVER,P2,TECHNICAL,NO
PROGRAMMER,P4,DEVELOPMENT,DATABASE,P2,TECHNICAL,NO
PROGRAMMER,P4,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,NO
SDE,P4,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,NO
SDE,P4,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,NO
SDE,P4,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
SDE,P4,DEVELOPMENT,CLIENT_DETAIL,P2,HR,NO
SDE,P4,DEVELOPMENT,PROJECT_COST,P2,FINANCE,NO
SDE,P4,DEVELOPMENT,SERVER,P2,TECHNICAL,NO
SDE,P4,DEVELOPMENT,DATABASE,P2,TECHNICAL,NO
SDE,P4,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,NO
PROJECT_MANAGER,P4,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,NO
PROJECT_MANAGER,P4,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,NO
PROJECT_MANAGER,P4,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
PROJECT_MANAGER,P4,DEVELOPMENT,CLIENT_DETAIL,P2,HR,NO
PROJECT_MANAGER,P4,DEVELOPMENT,PROJECT_COST,P2,FINANCE,NO
PROJECT_MANAGER,P4,DEVELOPMENT,SERVER,P2,TECHNICAL,NO
PROJECT_MANAGER,P4,DEVELOPMENT,DATABASE,P2,TECHNICAL,NO
PROJECT_MANAGER,P4,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,NO
PROJECT_LEADER,P4,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
PROJECT_LEADER,P4,DEVELOPMENT,CLIENT_DETAIL,P2,HR,YES
PROJECT_LEADER,P4,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,YES
PROJECT_LEADER,P4,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,YES
PROJECT_LEADER,P4,DEVELOPMENT,PROJECT_COST,P2,FINANCE,YES
PROJECT_LEADER,P4,DEVELOPMENT,SERVER,P2,TECHNICAL,YES
PROJECT_LEADER,P4,DEVELOPMENT,DATABASE,P2,TECHNICAL,YES
PROJECT_LEADER,P4,DEVELOPMENT,NETWORK_SETUP,P2,TECHNICAL,YES
DESIGNER,P5,DEVELOPMENT,PROJECT_DETAIL,P2,DEVELOPMENT,NO
DESIGNER,P5,DEVELOPMENT,EMP_DETAIL,P2,DEVELOPMENT,NO
DESIGNER,P5,DEVELOPMENT,SALARY_DETAIL,P2,HR,NO
DESIGNER,P5,DEVELOPMENT,CLIENT_DETAIL,P2,HR,NO
DESIGNER,P5,DEVELOPMENT,PROJECT_COST,P2,FINANCE,NO
DESIGNER,P5,DEVELOPMENT,SERVER,P2,TECHNICAL,NO
DESIGNER,P5,DEVELOPMENT,DATABASE,P2,TECHNICAL,NO
